Time (s), Cell Name, Value
166842.225346, C19, 245.5319
166849.62246, C19, 546.0151
166854.820432, C19, 753.8538
166857.219496, C19, 1010.524
166857.819262, C19, 432.4526
166862.217546, C19, 1144.208
173545.828922, C19, 240.1652
173651.787928, C19, 308.1409
173654.186999, C19, 220.0391
173655.186613, C19, 207.8843
173670.780579, C19, 119.3244
173673.179651, C19, 112.7097
173698.369905, C19, 210.6943
173699.369519, C19, 177.1682
173700.369132, C19, 129.0435
173701.368745, C19, 601.7106
173705.367198, C19, 525.0673
173790.73417, C19, 555.5447
173792.133629, C19, 152.8639
173796.73185, C19, 220.5258
173798.531154, C19, 779.5629
173800.130535, C19, 290.657
173800.730303, C19, 316.8789
173802.329684, C19, 426.8055
173803.329297, C19, 121.2672
173815.324657, C19, 270.7726
173823.521485, C19, 272.5026
173826.12048, C19, 451.6199
173856.508723, C19, 223.0213
173909.488225, C19, 1468.216
173912.287143, C19, 304.1244
173955.670358, C19, 160.4377
173957.269739, C19, 300.3987
173962.067883, C19, 220.5419
173967.265872, C19, 1041.134
173974.063242, C19, 318.6531
173983.859452, C19, 780.7527
174041.237253, C19, 661.9499
174068.226811, C19, 205.3983
174140.598811, C19, 778.3745
174141.798347, C19, 165.6223
174143.997496, C19, 415.4158
174157.992081, C19, 712.1775
174239.760446, C19, 1220.68
174240.160291, C19, 378.4642
174241.759672, C19, 654.5026
174242.759286, C19, 729.684
174246.357893, C19, 243.8
174249.956501, C19, 198.8757
174251.156037, C19, 918.4052
174254.554722, C19, 1187.514
174262.951474, C19, 194.6732
174289.941032, C19, 195.4809
174290.740722, C19, 222.1203
174293.139794, C19, 520.6219
174295.338943, C19, 175.2289
174315.930976, C19, 622.6462
174317.130512, C19, 800.1364
174405.896169, C19, 113.6225
248562.714336, C19, 347.4909
248586.10521, C19, 211.973
248588.704196, C19, 337.1262
248623.690546, C19, 194.4482
249061.519726, C19, 179.5907
260228.600922, C19, 114.1855
260229.000766, C19, 226.9836
260253.591172, C19, 333.6131
260268.3854, C19, 100.4974
260274.183138, C19, 115.3696
260277.581812, C19, 104.2347
260322.36434, C19, 189.5593
260346.155058, C19, 126.0627
260488.899365, C19, 262.2784
260565.069648, C19, 132.9614
260590.459742, C19, 105.1578
260595.657714, C19, 156.251
260644.638604, C19, 225.9106
260648.637044, C19, 136.5896
260660.23252, C19, 108.3994
260663.431272, C19, 158.2008
260671.22823, C19, 240.9371
260695.21887, C19, 128.9123
260719.609354, C19, 553.1339
260743.20015, C19, 152.0074
260787.982678, C19, 180.9732
260811.773396, C19, 133.2445
260822.769106, C19, 113.7227
260838.762866, C19, 137.4003
260862.953428, C19, 104.6768
260881.546174, C19, 113.5748
260907.735956, C19, 107.1739
260908.735566, C19, 735.8558
