 Time, C00, C01, C02, C03, C04, C05, C06, C08, C09, C10, C11, C12, C13, C14, C15, C16, C18, C19
16368.62484,30.26094,154.95,3.831159,3.29619,455.7729,401.0391,108.5442,98.36654,194.4104,330.3477,467.0671,51.3285,161.9986,0.0,311.7078,428.4952,449.2834,301.3977
16368.72491,27.87881,148.0018,3.543174,3.105327,435.209,390.5811,136.9586,92.01563,182.3341,310.4228,451.7752,48.49624,199.5607,0.0,290.8759,403.9379,441.0729,280.2197
16368.82497,25.68419,141.3651,3.276836,2.925516,437.5136,517.2089,132.444,86.07476,171.0079,310.5475,511.639,45.82026,185.7453,0.0,377.3253,396.2087,433.1945,271.3913
16368.92503,23.66233,135.0261,3.030519,2.756117,434.3935,487.8406,164.6251,80.51746,160.3852,316.6888,483.8998,43.29194,232.8531,0.0,359.7456,429.0831,510.5208,252.3218
16369.02509,21.79964,170.7961,2.802717,2.596526,428.4187,530.9699,156.1209,75.31895,183.2404,312.9526,457.6645,40.90313,216.7329,0.0,381.8963,404.4922,600.6565,234.5922
16369.12515,20.08357,163.2768,12.97951,2.446177,457.8054,578.9647,148.056,112.9395,199.5521,321.0935,432.8515,38.64613,201.7287,0.0,356.3736,431.0821,568.6091,218.1083
16369.22521,18.5026,155.9552,20.61952,2.304533,455.5842,577.8793,140.4078,133.3842,234.8005,342.5081,409.3839,36.51367,187.7632,0.0,373.1259,406.3766,538.2714,202.7828
16369.32527,17.04608,153.9052,19.06957,2.171091,435.0289,627.4747,133.1546,124.7724,275.7274,396.4119,387.1885,34.49888,174.7645,0.0,348.1894,383.0869,556.95,188.534
16369.42534,15.70421,154.8411,17.63612,2.045376,473.383,672.6321,126.2762,116.7166,303.0859,372.5023,366.1965,32.59526,162.6657,0.0,359.905,361.132,527.2345,175.2865
16369.5254,14.46798,147.8978,16.31043,1.92694,452.0246,634.4385,119.753,109.181,327.6279,350.0348,369.5612,30.79668,151.4045,0.0,335.8521,340.4354,499.1044,162.9699
